Date;Temperature;Humidity;CO2;PREC;VVENTOMEDIO;DVENTOPREV
2023-7-13;30.80;55.32;420.01;0.00;2.11;92.42
2023-7-14;32.57;49.17;419.28;0.00;2.33;75.97
2023-7-15;33.53;54.55;430.18;0.00;1.77;85.89
2023-7-16;35.36;54.03;429.06;0.00;1.67;92.63
2023-7-17;35.37;55.22;441.61;0.00;1.84;117.78
2023-7-18;36.12;49.60;427.08;0.00;2.29;69.19
2023-7-19;34.67;47.46;429.80;0.15;1.91;110.79
2023-7-20;32.81;50.53;423.33;0.04;1.42;171.44
2023-7-21;31.00;58.45;404.30;0.24;2.81;35.56
2023-7-22;28.67;56.29;413.66;0.93;1.82;62.66
2023-7-23;31.80;57.83;411.58;0.00;2.57;65.50
2023-7-24;31.02;61.54;422.26;0.00;2.68;32.42
2023-7-25;27.75;57.49;404.15;1.19;2.01;60.24
2023-7-26;26.80;53.72;390.05;0.21;2.53;74.84
2023-7-27;28.28;50.26;388.09;0.00;2.56;95.25
2023-7-28;30.37;54.01;411.34;0.00;1.88;101.62
2023-7-29;32.36;57.77;444.52;0.00;2.12;90.49
2023-7-30;30.99;55.59;429.91;0.36;1.73;116.75
2023-7-31;32.19;54.76;438.29;0.00;1.94;59.43
2023-8-1;31.28;61.48;442.67;0.00;1.96;46.20
2023-8-2;30.89;56.08;422.11;0.00;2.93;58.55
2023-8-3;30.68;62.79;441.15;0.00;2.21;111.77
2023-8-4;27.32;65.46;438.18;0.11;2.56;49.55
2023-8-5;19.68;64.93;433.61;2.97;3.25;41.16
2023-9-26;31.83;41.67;420.39;0.00;2.37;28.93
2023-9-27;27.99;48.61;440.43;0.00;2.80;19.84
2023-9-28;27.70;44.12;440.89;0.00;1.99;53.95
2023-9-29;29.64;43.25;445.55;0.00;1.25;140.22
2023-9-30;27.54;50.00;458.58;0.00;1.09;78.00
2023-10-1;26.89;60.96;455.04;0.00;1.62;66.53
2023-10-2;26.82;67.08;475.54;0.00;1.19;94.79
2023-10-3;26.79;67.70;469.13;0.00;1.20;118.79
2023-10-4;24.97;67.66;436.23;0.00;2.21;34.11
2023-10-5;25.27;53.43;412.00;0.00;1.51;71.00
2023-10-6;25.49;56.65;424.32;0.00;1.50;102.02
2023-10-7;25.10;60.75;424.30;0.00;1.18;95.11
2023-10-8;25.65;64.16;446.73;0.00;0.79;111.22
2023-10-9;26.51;68.54;448.58;0.00;1.05;97.58
2023-10-10;26.03;70.11;446.22;0.00;1.33;51.05
2023-10-11;25.75;66.36;431.22;0.00;1.40;92.18
2023-10-12;25.31;71.24;451.04;0.00;1.09;125.32
2023-10-13;25.93;70.48;437.54;0.00;1.36;180.24
2023-10-14;24.94;69.04;428.93;0.00;1.20;161.41
2023-10-15;21.55;69.25;423.14;0.00;2.77;98.38
2023-10-16;17.72;48.01;398.63;0.00;2.52;22.50
2023-10-17;16.95;50.13;401.32;0.00;2.38;30.57
2023-10-18;13.69;70.68;406.09;0.14;2.51;2.66
2023-10-19;17.07;83.67;437.14;0.28;1.62;7.50
2023-10-20;20.38;82.67;446.82;0.43;2.19;49.16
2023-10-21;22.63;74.72;434.23;0.02;1.56;86.17
2023-10-22;22.07;70.65;437.52;0.00;1.02;117.15
2023-10-23;21.18;70.31;449.47;0.00;1.70;67.26
2023-10-24;19.39;82.74;442.72;0.61;2.62;115.61
2023-10-25;19.55;79.16;447.20;0.00;2.39;153.34
2023-10-26;19.36;78.16;452.35;0.30;1.21;81.38
2023-10-27;20.83;74.02;424.37;0.32;2.52;138.91
2023-10-28;21.00;66.13;417.62;0.00;1.71;191.49
2023-10-29;18.25;79.89;445.20;0.00;1.61;35.95
2023-10-30;19.79;85.50;434.33;0.06;3.62;51.22
2023-10-31;19.23;71.51;414.00;0.15;3.10;163.55
2023-11-1;16.46;73.11;426.42;0.00;1.30;71.66
2023-11-2;17.31;84.50;428.24;0.59;3.46;95.38
2023-11-3;16.10;73.71;410.15;0.31;3.82;148.40
2023-11-4;15.41;66.82;424.30;0.14;1.55;100.16
2023-11-5;16.29;78.15;421.12;0.49;3.18;160.37
2023-11-6;17.34;75.65;455.54;0.00;1.21;124.62
2023-11-7;17.84;74.54;463.13;0.00;1.43;76.60
2023-11-8;16.12;70.38;459.92;0.00;0.87;229.60
2023-11-9;14.42;75.52;465.90;0.03;1.22;73.48
2023-11-10;13.87;83.48;443.55;0.48;1.68;149.45
2023-11-11;11.91;84.83;477.55;0.00;0.92;199.87
2023-11-12;12.94;73.95;463.63;0.00;2.08;83.71
2023-11-13;12.40;77.88;491.84;0.00;0.45;180.00
2023-11-14;13.50;76.33;504.89;0.00;0.55;152.36
2023-11-15;16.37;76.85;502.48;0.00;0.70;160.25
2023-11-16;14.19;76.59;494.10;0.00;1.40;99.81
2023-11-17;15.03;69.62;504.57;0.00;0.80;150.97
2023-11-18;13.69;61.91;480.18;0.00;0.73;133.06
2023-11-19;13.38;59.54;448.03;0.00;0.96;126.93
2023-11-20;12.86;66.46;453.91;0.00;0.73;117.88
2023-11-21;13.44;70.47;432.88;0.00;1.93;106.14
2023-11-22;14.95;57.88;419.18;0.00;2.48;12.10
2023-11-23;13.55;59.12;438.47;0.00;1.93;111.05
2023-11-24;10.31;79.34;474.01;0.00;0.96;174.44
2023-11-25;11.19;42.62;413.15;0.03;1.79;152.80
2023-11-26;9.87;41.56;461.63;0.00;1.41;119.52
2023-11-27;8.77;48.50;464.75;0.01;1.73;41.33
2023-11-28;9.75;72.16;465.65;0.01;1.40;198.67
2023-11-29;10.07;63.94;471.35;0.00;2.40;67.74
2023-11-30;8.27;80.31;461.89;0.60;1.83;146.01
